City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,lompoc,34.6391,-120.4579,294.7,93,100,8.23,US,1682299159
165,aqsay,51.1678,52.995,281.59,70,0,1.06,KZ,1682299159
166,smithers,54.7804,-127.1743,281.05,81,100,1.29,CA,1682298936
167,manta,-0.95,-80.7333,298.03,83,75,2.06,EC,1682299127
168,chernyshevskiy,63.0128,112.4714,269.04,95,100,2.94,RU,1682299160
169,kurchatov,51.6601,35.6521,278.38,76,80,1.92,RU,1682299160
170,sterling,39.0062,-77.4286,284.63,49,75,5.14,US,1682299161
171,manakara,-22.1333,48.0167,295.36,94,11,2.57,MG,1682299161
172,tiksi,71.6872,128.8694,265.92,90,28,2.06,RU,1682299161
173,trofaiach,47.4167,15.0,282.57,97,100,1.84,AT,1682299162
174,pasuquin,18.3328,120.6177,303.12,62,20,2.06,PH,1682299162
175,ilam,26.9167,87.9167,290.74,67,17,0.67,NP,1682298904
176,lata,40.1629,-8.3327,284.36,98,20,1.17,PT,1682299163
177,springbok,-29.6643,17.8865,289.46,30,100,1.92,ZA,1682299163
178,tolanaro,-25.0319,46.9987,297.19,78,20,5.14,MG,1682299163
179,ceeldheer,3.8488,47.1806,300.78,78,100,3.09,SO,1682299164
180,ad dilam,23.9915,47.1627,299.38,38,38,3.41,SA,1682299165
181,enewetak,11.3474,162.3373,300.28,83,98,8.61,MH,1682299165
182,saipan,15.1355,145.701,304.54,100,40,8.23,MP,1682299166
183,puerto piray,-26.4678,-54.7148,291.13,86,0,0.24,AR,1682299166
184,haiku-pauwela,20.9219,-156.3051,301.16,48,20,4.63,US,1682299033
185,badger,64.8,-147.5333,265.1,64,100,11.83,US,1682299167
186,aral,40.5156,81.2636,286.22,15,13,3.97,CN,1682299167
187,klaksvik,62.2266,-6.589,275.66,63,100,11.15,FO,1682299168
188,saint-joseph,-21.3667,55.6167,297.36,76,9,0.7,RE,1682299168
189,puerto cabezas,14.0351,-83.3888,298.76,74,85,3.75,NI,1682299169
190,nabire,-3.3667,135.4833,302.03,74,49,1.36,ID,1682299169
191,vila franca do campo,37.7167,-25.4333,291.38,96,100,9.44,PT,1682299170
192,aiquile,-18.2041,-65.1807,286.13,82,65,1.6,BO,1682299171
193,staraya stanitsa,48.35,40.2833,280.39,89,15,1.72,RU,1682299171
194,zouerate,22.7187,-12.4521,296.87,33,0,5.06,MR,1682299171
195,hawaiian paradise park,19.5933,-154.9731,300.22,72,100,6.17,US,1682299172
196,coruripe,-10.1256,-36.1756,298.36,78,86,3.29,BR,1682299172
197,tasqala,51.1167,50.3167,282.71,71,0,1.75,KZ,1682299173
198,imbituba,-28.24,-48.6703,295.85,89,8,3.17,BR,1682298902
199,kodiak,57.79,-152.4072,276.88,38,100,8.75,US,1682299174
200,bubaque,11.2833,-15.8333,299.33,66,10,6.87,GW,1682299174
201,nakhchivan,39.2089,45.4122,286.97,67,75,3.09,AZ,1682299174
202,lewistown,40.5992,-77.5714,280.82,77,0,4.12,US,1682299174
203,kupang,-10.1667,123.5833,302.47,79,75,6.69,ID,1682299175
204,banfora,10.6333,-4.7667,302.5,55,3,3.21,BF,1682299175
205,st. john's,47.5649,-52.7093,276.3,95,100,9.39,CA,1682298892
206,gamba,-2.65,10.0,298.52,92,100,2.84,GA,1682299175
207,uturoa,-16.7333,-151.4333,300.8,78,50,4.35,PF,1682299176
208,pedernales,18.0384,-71.744,298.7,73,0,1.09,DO,1682299176
209,picos,-7.0769,-41.4669,295.82,62,100,0.88,BR,1682299177
210,kavieng,-2.5744,150.7967,301.76,76,38,3.5,PG,1682299177
211,severodvinsk,64.5635,39.8302,271.21,82,100,2.09,RU,1682299177
212,puerto leguizamo,-0.1934,-74.7819,295.67,96,100,0.54,CO,1682299178
213,lebu,-37.6167,-73.65,284.51,86,8,4.6,CL,1682299178
214,kingston,17.997,-76.7936,297.15,90,1,1.01,JM,1682298937
215,atafu village,-8.5421,-172.5159,301.92,72,10,1.77,TK,1682299179
216,egilsstadir,65.2653,-14.3948,268.1,80,0,2.06,IS,1682299179
217,guiuan,11.0333,125.7247,301.67,75,54,4.48,PH,1682299179
218,zhanaozen,43.3,52.8,290.98,32,83,7.73,KZ,1682299179
219,rovaniemi,66.5,25.7167,270.82,50,0,4.12,FI,1682299180
220,maragogi,-9.0122,-35.2225,297.88,85,98,3.55,BR,1682299180
221,lobujya,27.95,86.8167,261.77,39,93,1.55,NP,1682299180
222,kirensk,57.7853,108.1119,272.89,70,49,1.7,RU,1682299181
223,hamilton,39.1834,-84.5333,280.29,57,100,2.57,US,1682298935
224,severo-yeniseyskiy,60.3725,93.0408,274.55,84,100,3.25,RU,1682299181
225,montrose,38.4166,-108.2673,282.82,43,100,0.94,US,1682299066
226,gokceada,40.2011,25.909,278.75,73,5,4.67,TR,1682299182
227,miyoshi,35.0833,137.0667,290.25,16,100,3.74,JP,1682299182
228,al artawiyah,26.5053,45.3444,298.66,32,17,3.02,SA,1682299183
229,lorengau,-2.0226,147.2712,302.28,74,97,2.79,PG,1682299183
230,mejit,10.2753,170.8646,300.27,81,84,8.33,MH,1682299183
231,hasaki,35.7333,140.8333,287.2,48,100,7.63,JP,1682299183
232,inhambane,-23.865,35.3833,295.28,79,13,3.53,MZ,1682299184
233,junin de los andes,-39.9504,-71.0694,286.04,43,6,0.84,AR,1682299184
234,zhezqazghan,47.7833,67.7667,280.47,76,0,2.0,KZ,1682299184
235,brookings,44.3114,-96.7984,279.34,45,20,2.57,US,1682299184
236,punta arenas,-53.15,-70.9167,280.21,70,0,4.12,CL,1682298911
237,ponca city,36.707,-97.0856,288.12,28,0,3.6,US,1682299185
238,el rosario,24.2556,-107.1828,298.33,47,19,2.66,MX,1682299185
239,chibougamau,49.9168,-74.3659,275.94,100,100,3.09,CA,1682299185
240,alvorada,-12.48,-49.1247,296.89,68,71,2.09,BR,1682299186
241,zakynthos,37.7914,20.8953,288.51,75,1,1.59,GR,1682299186
242,mocimboa,-11.3167,40.35,297.05,93,14,2.83,MZ,1682299187
243,pemangkat,1.1667,108.9667,300.66,80,34,1.73,ID,1682299187
244,mao,39.8885,4.2658,289.46,94,20,3.09,ES,1682299187
245,labuan,5.2767,115.2417,303.35,70,20,4.12,MY,1682299187
246,balsas,-7.5325,-46.0356,298.37,61,95,1.57,BR,1682299076
247,axim,4.8699,-2.2405,300.27,83,100,2.49,GH,1682299188
248,sucre,-19.0333,-65.2627,285.13,74,63,2.19,BO,1682299188
249,sebastopol,44.6,33.5333,281.48,65,100,2.28,UA,1682299188
250,rundu,-17.9333,19.7667,297.08,44,100,0.77,NA,1682299189
251,carutapera,-1.195,-46.02,297.91,92,100,2.35,BR,1682299189
252,talara,-4.5772,-81.2719,300.57,74,0,5.66,PE,1682299189
253,la'ie,21.6477,-157.9253,302.13,66,100,1.76,US,1682299189
254,midvagur,62.0511,-7.1939,275.61,55,100,4.63,FO,1682299190
255,sur,22.5667,59.5289,301.94,56,100,5.39,OM,1682299190
256,susuman,62.7833,148.1667,269.62,73,100,7.58,RU,1682299190
257,mosjoen,65.836,13.1908,272.44,64,100,0.0,NO,1682299191
258,summerside,46.3959,-63.7876,275.22,100,30,6.17,CA,1682299191
259,san luis de la loma,17.2706,-100.8939,299.63,78,94,2.2,MX,1682299192
260,sulak,43.2734,47.5146,284.18,88,100,3.13,RU,1682299192
261,saynshand,44.8824,110.1163,283.37,15,100,4.98,MN,1682299193
262,mar del plata,-38.0023,-57.5575,289.79,92,75,0.0,AR,1682299041
263,nuku'alofa,-21.1333,-175.2,300.34,78,75,6.17,TO,1682299193
264,bien hoa,10.95,106.8167,303.14,63,100,1.99,VN,1682299194
265,bandon,51.7469,-8.7425,279.92,93,0,2.43,IE,1682299194
266,achit,56.7985,57.8994,279.02,85,100,1.64,RU,1682299195
267,camacupa,-12.0167,17.4833,289.58,94,34,1.71,AO,1682299195
268,iquique,-20.2208,-70.1431,294.17,78,12,2.14,CL,1682299195
269,memari,23.2,88.1167,298.68,64,2,2.05,IN,1682299195
270,kavaratti,10.5669,72.642,301.62,72,93,4.59,IN,1682299196
271,queenstown,-31.8976,26.8753,288.65,53,100,2.22,ZA,1682299196
272,menongue,-14.6585,17.691,291.07,86,86,1.77,AO,1682299196
273,qaryat suluq,31.6682,20.2521,292.7,54,100,4.93,LY,1682299196
274,mosfellsbaer,64.1667,-21.7,276.16,75,20,2.06,IS,1682299197
275,eydhafushi,5.1033,73.0708,302.11,74,100,5.21,MV,1682299197
276,acarau,-2.8856,-40.12,298.55,82,80,4.72,BR,1682299197
277,ta`u,-14.2336,-169.5144,300.15,77,28,3.2,AS,1682299198
278,happy valley-goose bay,53.3168,-60.3315,275.58,93,9,0.2,CA,1682298910
279,puerto baquerizo moreno,-0.9,-89.6,298.97,80,55,4.63,EC,1682299198
280,dakhla,23.6848,-15.958,291.9,86,0,9.06,EH,1682299198
281,ebon,4.582,168.6964,301.62,76,96,7.78,MH,1682299199
282,muisne,0.6,-80.0333,297.98,90,100,0.75,EC,1682298976
283,gebeit,21.0667,36.3167,296.57,71,14,4.44,SD,1682299200
